Job Title,Company Name,Job City,Job Experience,Job Salary,Job Description,Concerned Job Function,Concerned Industry,Concerned Specialization,Concerned Qualification,Concerned Employment Type,Key Skills,Related Company,Related Industry,Related Website,Related Company Turnover,Related Company Size
DevOps Engineer,Feedspot,Mumbai,0 - 3 Years,Not disclosed,"We are looking for infrastructure and automation ninjas to implement continuous integration and agile infrastructure for our enterprise product companies. You will get to architect and lead DevOps practice implementations using latest cloud and automation technologies. JOB RESPONSIBILITIES Setup infrastructure automation and CI/CD pipelines on AWS and GCP. Implement microservice and container strategies using Kubernetes platforms. Design continuous integration and delivery pipelines using latest tools and platforms. Write lots of automation code and leverage latest tooling. Consult with customers to deploy best practices in their development, QA, DevOps and operations teams. Pro-actively look for ways to make the architecture, code and operations better. Requirements Experience with a few of these languages: C , Shell, Ruby/JRuby, Python, PowerShell, Java, Go Experience with implementation of container technologies like Docker, Kubernetes Infrastructure automation experience with knowledge of atleast a few of these tools: Chef, Puppet, Ansible, CloudFormation, Terraform, Packer Experience with continuous integration(Jenkins, CircleCI), continuous delivery and enterprise DevOps concepts Experience with AWS, GCP or Azure SCM tools: Git, SVN, Mercurial Knowledge of multi-tier application architectures Logging, monitoring and alerting tools like Splunk, Kibana, Logstash, Nagios, New Relic Bachelor's Degree in Computer Science or Engineering",IT Software ; Software Products & Services,Others - other Industry,Software Engineer,Any Graduate,Full Time,"['c', 'docker', 'java', 'git', 'devops', 'python', 'svn', 'ruby', 'infrastructure', 'splunk']",Feedspot,Other Industry (Others),http://www.feedspot.com,,
Sr. NLP Research Engineer,Boyen Haddin Consultants LLP,Mumbai,0 - 3 Years,Not disclosed,"Sentiment Analysis, Entity Extraction, Natural Language Processing (NLP), Natural Language Inference (NLI) and Natural language Understanding (NLU). Quantitative Analysis of time series data for variety of financial assets Applying various Machine Learning algorithms to large-scale datasets containing text or time-series data. Cognitive computing and intelligent assistance through automated reasoning. Augmented intelligence, deep learning and pattern recognition. Server-less computing using AWS infrastructure. Tuning various Machine Learning/Deep Learning Models. Expert level knowledge of Python is required. Strong knowledge of data structures, design patterns, building algorithms and working with distributed computing. Some knowledge of version control and coding standards. Some experience with document databases, relational databases and time-series databases.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['algorithms', 'python', 'natural language processing', 'machine learning', 'infrastructure', 'data structures', 'pattern recognition']",Boyen Haddin Consultants LLP,Consultancy Services (Other Consultancy Services),http://www.boyenhaddin.com,,
Machine Learning Engineer,TAC Security,Mumbai,0 - 3 Years,Not disclosed,"Machine Learning Engineer Apply For This Role WHAT YOU'LL BE DOING Ensures software applications are built with quality while conforming to corporate and regulatory processes and practices by Performing requirements analysis, proactively identifying deficiencies, ambiguities, and outstanding questions Identifying and communicating clear distinctions between business requirements, design, and implementation constructs Following established software patterns and development processes Writing simple concise unit tests with appropriate code coverage Identifying, documenting, and communicating steps to reproduce and workarounds for bugs Identifying gaps and deficiencies in requirements, design, development, testing, support processes Delivering tested code inconsistently timely fashion with a high degree of efficiency and a low frequency of bugs (or reopened bugs) Identifying design alternatives, questions, and tradeoffs Identifying gaps, problems, and weaknesses in software solutions by performing code and design reviews SKILLS YOU HAVE Programming: Python Technology: Data Science, Deep Learning, ML, Data Analytics, Data Visualization. Database: MySQL Other tools and Packages: Matplotlib, Seaborn, MySQL-Python, Scikit-Learn, Flask Big Data Framework: Hadoop, Spark ABOUT TAC SECURITY TAC Security, headquartered in San Francisco, is a global leader in Vulnerability Management that protects Fortune 500 companies, leading enterprises, and governments around the world. The company manages 5 Million vulnerabilities through its Artificial Intelligence (AI) based Vulnerability Management Platform ESOF (Enterprise Security in One Framework).",IT Software ; Software Products & Services,"IT-Hardware/Networking, Telecom",Software Engineer,ML/ LLM (Law) BE/ B.Tech (Engineering),Full Time,"['san', 'python', 'enterprise security', 'machine learning', 'artificial intelligence', 'database', 'security', 'mysql', 'hadoop', 'big data']",TAC Security,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",http://www.tacsecurity.co.in,,
C09 - AI non-Model Review Team,CITI,Mumbai,0 - 2 Years,Not disclosed,"The Model/Anlys/Valid Analyst I requires a good knowledge of the range of processes, procedures and systems to be used in carrying out assigned tasks and a basic understanding of the underlying concepts and principles upon which the job is based. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Makes evaluative judgements based on the analysis of factual information. They are expected to resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents. Must be able to exchange information in a concise and logical way as well as be sensitive to audience diversity. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own job. Responsibilities: Develops, enhances, and validates the methods of measuring and analyzing risk, for all risk types. Also, may develop, validate and strategize uses of AI/ML models, Generative AI models. Supports the design, development, delivery and maintenance of best-in-class Risk programs, policies and practices for Risk Management. Reviews institutional or retail analytics and Models and other documents to ensure compliance with various regulatory and legal requirements. Identifies potential risks and escalates for further review. Handles preliminary investigations, assists with reconciliation procedures and prepares routine correspondence. Creates and maintains reports for control, tracking, and analysis purposes and ensures appropriate and secure retention of documents. Works with more senior staff in investigating and responding to customer and operational complaints. Interacts and works with other areas within Risk Management, as necessary. Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency. As a successful candidate, youd ideally have the following skills and exposure: 0-2 yrs Experience in Natural Language Processing, AI, Machine Learning model development and/or validation. Generative AI experience is preferred. Proficient in Python Consistently demonstrates clear and concise written and verbal communication skills Self-motivated and detail oriented Project management and organizational skills and capability to handle multiple projects at one time Qualifications: Education: Master's degree (or above) in quantitative fields Job Family Group: Risk Management Job Family: Risk Analytics, Modeling, and Validation Time Type: Full time Citi is an equal opportunity and affirmative action employer. Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Citigroup Inc. and its subsidiaries (""Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi. View the ""EEO is the Law"" poster. View the EEO is the Law Supplement. View the EEO Policy Statement. View the Pay Transparency Posting Locations: NIRLON KNOWLEDGE PARK BLOCK B7, India",IT Software ; Software Products & Services,Banking,Software Engineer,ML/ LLM (Law) Any Graduate,Full Time,"['natural language processing', 'machine learning development', 'python proficiency', 'detail oriented', 'project management skills']",CITI,"Banking, Financial Services & Insurance (Banking - Retail, Corporate, Co-operative)",,,
Android Developer,FINITE HR CONSUTING PVT LTD,Mumbai,0 - 3 Years,Not disclosed,"Company Description Client of FiniteHR, Startup Job Description Our Client Inayo is looking for Android Developer Job Designation: Android Developer Job Location: Powai-Mumbai Experience: 2-5Years. Job Description An Android Developer at Inayo is expected to take up a new feature and deliver a clean & optimized code which implements latest features rolled out by Android and is backward compatible as well. You are expected to quickly understand and prototype a design that adheres to Android Development. You will be working closely with the head of technology at Inayo. Responsibilities will include: Develop innovative and superior interface to enhance user experience. Material Design Work on improving performance by implementing new features and removing old features. Design and develop new functionalities from the scratch to implement new business requirements Follow agile development, implies that you develop, test, deploy, get feedback from users and go back to development. What we expect from you? Strong analytical skills Good understanding of Material Design and/or making app backward compatible Be extremely customer centric. UI UX is key to an apps success Excellent knowledge of Java Technology Stack, Android OS Capable of handling web service integration - RESTful, JSON, SOAP, XML Knowledge of either SQL, python, javascript, HTML, CSS will be a plus. Life as a developer@Inayo We are a startup. We are fast and flexible. As an engineer at Inayo, you will be given responsibility of one of our core systems. This is a double edged sword. You will be thrown headfirst into the software development cycle but youll love the thrill of actually making a difference. We have grand visions and you would be one of the architects. You wont be just moving pixels or managing one of the thousand files. You would be in touch with the customers day in and day out delivering solutions. Company Profile We at Inayo are working towards making healthcare more accessible and simplified. As a first step towards this Inayo offers an on demand Pharma and Healthcare Marketplace which enables the small and medium size pharmacies to sell their medicines and OTC products to nearby customers online. By on demand, we mean Inayo delivers orders in 90 mins. We also do prescription management and dosage management of users. The user can upload a prescription to get his medicines delivered in 90 minutes. The prescription is then digitized to extract medicines. Based on the dosage requirements of these Inayo .Mumbai medicines, timely notifications are sent to users. Also we notify user before he runs out of his medicine. Going inline with our goal, we are going to provide Diagnostic services on our platform. The idea is to unify healthcare services and customer has a seamless experience. On seller's front we enable the Pharmacy Retailers to adopt technology to increase sales, productivity, compliance and profit. We provide the technology at bare minimum price with advanced features like Store Management, Customer Management, ERP and Advanced Analytics. Skills Must have analytical skills Java Technology Stack Material Design UI UX customer centric Android OS RESTful JSON SOAP .net SQL Python JavaScript HTML CSS Qualifications B.Tech/BE. Working Days 6 Days a week( 9:30 AM to 6:30 PM ) Job Nature Full Time Interview Address 701, B Wing, Oxford Chambers, Saki Vihar Road, Powai, Mumbai - 76. This is an Immediate Opportunity candidate with less than one month notice will be preferred. Please ignore this mail if the above profile doesnt match with your current Job Role. Thank you for your Valuable Time Hoping for a Prompt Response!!! Best regards, Eswar-Recruiter FiniteHR Consuting Pvt Ltd Additional Information All your information will be kept confidential according to EEO guidelines. I'm interested",IT Software ; Software Products & Services,Consulting Services,Software Engineer,BE/ B.Tech (Engineering),Full Time,"['css', 'sql', 'java', 'xml', 'json', 'html', 'python', 'os', 'javascript', 'android development', 'expect', '.net', 'soap']",FINITE HR CONSUTING PVT LTD,,,,
Junior ML Engineer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"Select appropriate annotated datasets for Supervised Learning methods. Use effective text representations to transform natural language into useful features. Find and implement the right algorithms and tools for NLP tasks. Develop ML/DL/NLP models according to requirements. Train the developed model and run evaluation experiments. Perform statistical analysis of results and refine models. Extend ML libraries and frameworks to apply in NLP tasks. Building recommendation engines to increase the personalization of content for the user. Testing and deployment of models on cloud services i.e. AWS/GCP etc. Act as a bridge between product and engineering team to translate product requirements into the technical solutions. Stay updated and use industry best practices and latest technology trends. Prototype ideas rapidly using cutting edge technologies, drive architecture discussions, and proposes solutions to system and product changes. Deep understanding of NLP techniques for text representation, semantic extraction techniques, data structures and language modelling. Experience with NLP libraries and technologies including Spacy, NLTK, Gensim, Stanford NLP etc. Proficiency with Python and basic libraries for machine learning such as Numpy, Scikit-learn and pandas. Exposure to DL Model optimisation and transfer learning technique. Experience of cloud environment AWS/GCP, Hadoop/Spark, SQL is a plus. Experience with technologies like Docker, Kubernetes, CI/CD, Git is a plus.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['algorithms', 'artificial intelligence', 'sql', 'docker', 'git', 'data structures', 'hadoop', 'cloud services', 'python', 'machine learning']",SEVEN CONSULTANCY,,,,
Data Engineer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"1.Experience in Big Data technologies and working exposure in at least one cloud platform on related data services (AWS / Azure / GCP) 2.Hands-on experience with the Hadoop stack HDFS, sqoop, kafka, Pulsar, NiFi, Spark, Spark Streaming, Flink, Storm, hive, oozie, airflow and other components required in building end to end data pipeline. 3.Excellent experience in at least of the programming language Java, Scala, Python. Java preferable 4.Hands-on working knowledge of NoSQL and MPP data platforms like Hbase, MongoDb, Cassandra, AWS Redshift, Azure SQLDW, GCP BigQuery etc 5.Well-versed and working knowledge with data platform related services on at least 1 cloud platform, IAM and data security.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['hive', 'scala', 'java', 'iam', 'hadoop', 'big data', 'mongodb', 'hbase', 'python', 'oozie', 'nosql', 'cassandra', 'hdfs', 'sqoop']",SEVEN CONSULTANCY,,,,
Senior Data Engineer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"1.Experience in Big Data technologies and working exposure in at least one cloud platform on related data services (AWS / Azure / GCP) 2.Hands-on experience with the Hadoop stack HDFS, sqoop, kafka, Pulsar, NiFi, Spark, Spark Streaming, Flink, Storm, hive, oozie, airflow and other components required in building end to end data pipeline. 3.Excellent experience in at least of the programming language Java, Scala, Python. Java preferable 4.Hands-on working knowledge of NoSQL and MPP data platforms like Hbase, MongoDb, Cassandra, AWS Redshift, Azure SQLDW, GCP BigQuery etc 5.Well-versed and working knowledge with data platform related services on at least 1 cloud platform, IAM and data security. FUNCTIONAL AREA Big data technologies, AWS, Azure, GCP, HDFS, sqoop, Java, Scala, Python, Hbase, MongoDb, senior data engineer, Data engineer, Data science, Big data, Senior Data Engineer jobs in Mumbai, Senior Data Engineer jobs in Maharashtra, Senior Data Engineer jobs in india, big data engineer jobs in Mumbai, big data engineer jobs in Maharashtra, big data engineer jobs in india, data sciences jobs in Mumbai, data sciences jobs in Maharashtra, data sciences jobs in india, Analytics Recruitment Agencies in Mumbai, Analytics placement firms in Mumbai, Data Science Placement Consultancy in Mumbai, Data Analytics Recruitment Agencies in Mumbai, Top Analytics Placement Firms in Mumbai, Top Analytics Recruitment Agencies in Mumbai, Big Data Analytics Recruitment Agencies in Mumbai, Big Data analytics placement firms in Mumbai, Data Engineer Jobs in Mumbai, Analytics Recruitment Agencies in India, Analytics placement firm in India, Top Analytics Placement Firms in India.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['hive', 'scala', 'java', 'iam', 'hadoop', 'big data', 'mongodb', 'hbase', 'python', 'oozie', 'nosql', 'cassandra', 'hdfs', 'sqoop']",SEVEN CONSULTANCY,,,,
Senior ML Engineer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"Data Collection and Curation. Select appropriate annotated datasets for Supervised Learning methods. Use effective text representations to transform natural language into useful features. Find and implement the right algorithms and tools for NLP tasks. Develop ML/DL/NLP models according to requirements. Train the developed model and run evaluation experiments. Perform statistical analysis of results and refine models. Extend ML libraries and frameworks to apply in NLP tasks. Building recommendation engines to increase the personalization of content for the user. Testing and deployment of models on cloud services i.e. AWS/GCP etc. Act as a bridge between product and engineering team to translate product requirements into the technical solutions. Stay updated and use industry best practices and latest technology trends. Prototype ideas rapidly using cutting edge technologies, drive architecture discussions, and proposes solutions to system and product changes. Deep understanding of NLP techniques for text representation, semantic extraction techniques, data structures and language modelling. Experience with NLP libraries and technologies including Spacy, NLTK, Gensim, Stanford NLP etc. Proficiency with Python and basic libraries for machine learning such as Numpy, Scikit-learn and pandas. Exposure to DL Model optimisation and transfer learning technique. Experience of cloud environment AWS/GCP, Hadoop/Spark, SQL is a plus. Experience with technologies like Docker, Kubernetes, CI/CD, Git is a plus. Experience with ML Ops is a plus.",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['algorithms', 'artificial intelligence', 'sql', 'docker', 'git', 'data structures', 'hadoop', 'cloud services', 'python', 'machine learning', 'consultant']",SEVEN CONSULTANCY,,,,
Salesforce Lead App Cloud Developer,SEVEN CONSULTANCY,Mumbai,0 - 3 Years,Not disclosed,"JOB DETAILS Developer leads the cloud application development/deployment for client based on AWS development methodology, tools and best practices. A developer responsibility is to lead the execution of a project by working with a senior level resource on assigned development/deployment activities and design, build, and maintain cloud environments focusing on uptime, access, control, and network security using automation and configuration management tools. Experience level knowledge on AWS Deployment Services, AWS beanstalk, AWS tools & SDK, AWS Cloud9, AWS CodeStar, AWS Command line interface etc and hands on experience on AWS ECS, AWS ECR, AWS EKS, AWS Fargate, AWS Lambda function, Elastic Chache, S3 objects, API Gateway, AWS Cloud Watch and AWS SNS. Should be AWS certified Developer Experience in Modernizing applications to Container based platform using EKS, ECS, Fargate Should have worked on at least 3 engagements modernizing client applications to Container based solutions Should be expert in any of the programming languages like Java, .NET, Node .js, Python, Ruby, Angular .js Proven experience on using DevOps tools during Modernization Solid experience around No-SQL database Should have used Orchestration engine like Kubernetes, Mesos",IT Software ; Software Products & Services,Consulting Services,Software Engineer,Any Graduate,Full Time,"['node .js', 'orchestration', 'apex', 'salesforce', 'java', 'devops', 'api', 'salesforce developer', 'python', 'ruby', 'consultant', '.net', 'gateway', 'sql database']",SEVEN CONSULTANCY,,,,
